id,title,author,url,thumbnail_url,is_active,created_at
1,Ta yêu nhau vì điều gì,Vì sao thế nhỉ?,https://youtu.be/3VllPRFCry0?si=9rBRV9ZCLop52kwo,https://i.pinimg.com/736x/46/26/29/46262990ec56f2bc2f28fe2a140b62ce.jpg,true,2025-10-31 13:18:19.053642+00
2,Cách để một mối tình đẹp không dang dở,Tun Cảm Ơn,https://youtu.be/6ZrQxrH_2YQ?si=RuaBu5-fw1FPYySN,https://i.pinimg.com/736x/db/85/bc/db85bc86a02c94a3213b84e6ddc2f6d7.jpg,true,2025-10-31 13:22:43.76364+00
3,Mạng xã hội và những ảo tưởng về tình yêu hoàn hảo của giới trẻ,Hêu Podcast,https://youtu.be/KdPzxtTuMRQ?si=9KtWJbs3XraYONl8,https://i.pinimg.com/736x/26/2d/e0/262de0e3582690f9e18cdbf5a1abcc48.jpg,true,2025-10-31 13:24:01.414675+00
4,Khi nào thì mình gặp đúng người?,RePodcast,https://youtu.be/PNnsNKaSvRY?si=shYUFsv73J2vV9Ji,https://i.pinimg.com/736x/50/71/41/507141264ccf7a195e758c109d8ec756.jpg,true,2025-10-31 13:25:29.573012+00
5,Chỉ yêu thôi thì không đủ,Vietceteraa,https://youtu.be/ECiKtkjDrbw?si=2jDqtcsBTzgl_V6-,https://i.pinimg.com/736x/b6/31/de/b631de83634d36d95f5dc73e7aaa50c3.jpg,true,2025-10-31 13:27:19.073835+00
7,Tình yêu: phức cảm & lựa chọn,The Tri Way,https://youtu.be/rke-Iw_5pFk?si=c37VBOfYsRXmeAc5,https://i.pinimg.com/1200x/ae/9c/0a/ae9c0a3017bea25fa84630c1f2edebb3.jpg,true,2025-11-22 14:10:50.42667+00
